"yplac" "ydrug"
"1" 1 1
"2" 0 0
"3" 0 0
"4" 1 1
"5" 1 1
"6" 0 0
"7" 0 0
"8" 0 0
"9" 1 1
"10" 0 0
"11" 0 0
"12" 0 0
"13" 1 1
"14" 0 0
"15" 0 0
"16" 1 1
"17" 1 1
"18" 1 1
"19" 0 0
"20" 1 1
"21" 0 0
"22" 0 0
"23" 1 1
"24" 1 1
"25" 1 1
"26" 0 0
"27" 0 0
"28" 0 0
"29" 0 0
"30" 1 1
"31" 1 1
"32" 0 0
"33" 0 0
"34" 1 1
"35" 1 1
"36" 0 0
"37" 1 1
"38" 1 1
"39" 1 1
"40" 1 1
"41" 1 1
"42" 0 0
"43" 0 0
"44" 1 1
"45" 0 0
"46" 0 0
"47" 0 0
"48" 0 0
"49" 0 0
"50" 1 1
"51" 0 0
"52" 0 0
"53" 1 1
"54" 0 0
"55" 1 1
"56" 0 0
"57" 0 0
"58" 1 1
"59" 0 0
"60" 1 1
"61" 0 0
"62" 0 0
"63" 1 1
"64" 1 1
"65" 1 1
"66" 0 0
"67" 1 1
"68" 1 1
"69" 1 1
"70" 0 0
"71" 1 1
"72" 0 0
"73" 1 1
"74" 1 1
"75" 1 1
"76" 0 0
"77" 0 0
"78" 1 1
"79" 1 1
"80" 0 0
"81" 0 0
"82" 0 0
"83" 1 1
"84" 0 0
"85" 1 1
"86" 0 0
"87" 0 0
"88" 0 0
"89" 0 0
"90" 1 1
"91" 1 1
"92" 0 0
"93" 0 0
"94" 0 0
"95" 0 0
"96" 0 0
"97" 0 0
"98" 0 0
"99" 0 0
"100" 0 0
"101" 0 0
"102" 0 0
"103" 0 0
"104" 0 0
"105" 0 0
"106" 0 0
"107" 1 1
"108" 0 0
"109" 0 0
"110" 1 1
"111" 0 0
"112" 1 1
"113" 1 1
"114" 0 0
"115" 1 1
"116" 0 0
"117" 0 0
"118" 1 1
"119" 0 0
"120" 0 0
"121" 1 1
"122" 0 0
"123" 1 1
"124" 0 0
"125" 0 0
"126" 0 0
"127" 0 0
"128" 0 0
"129" 1 1
"130" 1 1
"131" 1 1
"132" 0 0
"133" 0 0
"134" 0 0
"135" 0 0
"136" 0 0
"137" 1 1
"138" 0 0
"139" 0 0
"140" 0 0
"141" 1 1
"142" 1 1
"143" 1 1
"144" 1 1
"145" 0 0
"146" 1 1
"147" 1 1
"148" 0 0
"149" 1 1
"150" 1 1
"151" 1 1
"152" 1 1
"153" 0 0
"154" 1 1
"155" 1 1
